stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
1101.TW,1.1,0.584,20.625002,0.041929998,0.01343,0.20221001,0.04698,31.5,1.1014336,14.871,0.09258570956503698,0.0069548261293467676,0.32061003937346333,0.010393076197216324,0.014047312100441913,0.5312995436589715,0.9483098540411008,0.07965992107090325,0.23472950703236825,0.15135862016296558,0.3357945161266144,0.6132417794565986
1102.TW,3.36,0.35,15.631579,0.05949,0.012940001,0.13185,0.06204,13.258928,0.92538744,23.353,0.11364263596378482,0.021644458888527788,0.26012276267602,0.016646025005897618,0.010401394640465531,0.5281341409267521,0.9496768571636046,0.08166819586737337,0.23390932371928008,0.16210295289878054,0.33102851136018047,0.626956044156596
1103.TW,0.26,0.747,42.790695,0.00119,-0.0019,0.13787,-0.02804,70.76923,0.58113825,4.491,0.043732688969074944,0.001494962625934352,0.2652980519592167,0.002740917669261618,0.0032719910090331476,0.5453506955809562,0.9415002541572869,0.05529218826421097,0.23535331363171544,0.1463951883963433,0.3389111493496438,0.5792892340153327
1104.TW,3.09,0.584,12.279152,0.1062,0.02175,0.19765,0.14234,11.245955,1.0697244,11.59,0.1696545334616047,0.01988950276243094,0.3166898780970066,0.00797431587638594,0.013390614300717774,0.5260089891850781,0.9569657250744317,0.10423707796868474,0.23402887999876348,0.16630056481960417,0.33189940208777063,0.6655796473923324
1109.TW,1.94,0.419,15.515873,0.07457,0.05009,0.21358,0.11229999,10.077319,0.8041296,17.654,0.13172568914869434,0.012414689632759181,0.3303846219975585,0.012444709837225761,0.00789014375027274,0.5280607932274818,0.9542389795584924,0.09479109316967278,0.2314826307371869,0.15809793984059442,0.3357942484741403,0.6407216257909027
1203.TW,2.11,0.321,29.213484,0.11338,0.05982,0.31175,0.18782,24.64455,2.0914612,26.863,0.17826436912922075,0.013519662008449788,0.41477966334829186,0.019233604623732012,0.034550792055349826,0.5367439060509449,0.9610939655798416,0.12014644593927876,0.2467888673093654,0.165917255080171,0.3463844170185133,0.6732816501522891
1210.TW,4.9,0.638,11.8125,0.16308,0.06183,0.14078,0.04848,11.571428,2.0884748,129.229,0.23786169958611753,0.03165420864478388,0.26779972834029675,0.09469804199103564,0.03448894368613534,0.5257131717636829,0.9484460097305931,0.1308926251374979,0.2446260130971317,0.1808595631199531,0.34619333080321707,0.7024049126961193
1215.TW,7.52,0.262,13.204225,0.22116,0.06838,0.17569,0.0761,14.960107,3.3313591,97.832,0.30750783546009264,0.04868378290542737,0.29781124808720627,0.07155210544939844,0.06022908803293916,0.5265954062784631,0.9509530898264468,0.15412031125018677,0.2584698908390526,0.19922723352515592,0.34097228032386034,0.7465830778142878
1216.TW,3.3,0.312,18.86574,0.1517,0.031229999,0.32352,0.0547,24.69697,3.4547074,107.084,0.22421546979538343,0.021254468638284046,0.4248981276112859,0.0783726999292286,0.06278363236738194,0.5301843221482984,0.9490106019896883,0.1436648558260692,0.25718332887383133,0.17396106662106903,0.3544394176887781,0.6943683473260782
1218.TW,0.29,0.309,18.319672,0.01166,0.00671,0.14591,0.039979998,77.06897,0.8880677,23.303,0.05628770003313348,0.0016899577510562237,0.27220990010488133,0.016609164897381457,0.009628502509971012,0.5298381617811159,0.9476744606419286,0.06157300383009809,0.23145690727778578,0.14382702246895412,0.3330452164475156,0.5906109911650012
