stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
1305.TW,0.14,0.825,36.595745,0.0095,-0.00063,0.08959,-0.03445,122.85715,1.0459107,22.084,0.053697554484101344,0.000714982125446864,0.22379257578102166,0.01571051545175749,0.012897432372656186,0.5414236275845213,0.9409184155108561,0.05233928220844612,0.23768417724337262,0.14592730057347691,0.3354266239718514,0.5850582666314212
1440.TW,1.5,0.854,84.04762,0.090950005,-0.01076,0.05153,-0.039890002,11.766666,1.0093212,10.995,0.15136763222456195,0.009554761130971728,0.19107305582778839,0.0075356805850436415,0.012139663518727159,0.571504054332651,0.9404246240287559,0.07595228044280378,0.25151507283671654,0.16955407116846435,0.34851360196345127,0.6446598014601754
1476.TW,16.68,1.022,20.022753,0.25742,0.12731,0.31583,0.19344,31.654676,6.1351833,116.36,0.3509887047230117,0.10822229444263894,0.41828716837743507,0.08521098726114651,0.11829631088792393,0.5309177693470263,0.9616040955631399,0.1999396349232366,0.2937181206645528,0.2428221787667972,0.35027575118578186,0.7794955570126012
1477.TW,17.13,0.856,19.091797,0.32208002,0.121879995,0.2626,0.15702,22.825453,7.1814275,137.406,0.42852521537270094,0.11114722131946701,0.37252626330358835,0.10072614413776836,0.13996403710347455,0.5303276229352409,0.9582982354222641,0.2156104440858161,0.30316994341914527,0.25265099503419497,0.3477673603803761,0.8251010666123249
1513.TW,3.63,0.812,18.894472,0.1038,0.06419,0.29641,0.19957,51.79063,5.014136,45.539,0.1667765939626801,0.023399415014624638,0.4015921321847974,0.0330015923566879,0.09507941183980281,0.5302025357767657,0.9621605184808655,0.11400120189197893,0.2713396191540511,0.16931825174334703,0.3385874406616004,0.6668631996624873
1514.TW,3.28,0.823,39.622643,0.17862,0.05609,0.18115,0.09932999,44.817074,6.8637066,39.391,0.25649635784165425,0.0211244718882028,0.30250511511150086,0.028469273413540927,0.13338403458192336,0.5433424218063104,0.9530616866966813,0.11814752818446532,0.29306364624082115,0.18065680481137636,0.33343053152356267,0.716540164382115
1539.TW,1.65,0.876,10.304348,0.0656,0.024,0.11698,0.04602,14.363637,0.95391434,25.449,0.12096939027146368,0.010529736756581087,0.2473392823369612,0.018191200754895023,0.01099218698032117,0.5247571324973516,0.9482227143998256,0.07853018693094521,0.23112685771064598,0.1549177047994303,0.32835726072761484,0.6305955189242792
1541.TW,1.82,0.81,6.5051546,0.07617,0.04165,0.191,-0.00564,17.335163,1.2723312,44.575,0.13364431548131073,0.011634709132271694,0.3109729887725452,0.03229092946449635,0.01758660283934845,0.522348769102424,0.943533512453707,0.0942070609678855,0.23307890034924528,0.1563265566073064,0.3346301762250806,0.6356161593609749
1560.TW,6.36,0.91,26.804579,0.15323,0.06353,0.31504,0.16384001,47.877357,7.547965,44.362,0.22605015622594785,0.04114397140071498,0.41760801911934115,0.03213390540221751,0.1475550318231895,0.5352168664893744,0.9589172908648609,0.1332148036563392,0.298515509129927,0.1881226777533176,0.3371934906358857,0.7013066220772515
1568.TW,2.32,0.866,9.826388,0.14326,0.05727,0.33647,0.17695999,12.198276,1.6350819,12.167,0.21409471589083193,0.014884627884302892,0.436031017348395,0.00839968152866242,0.025099172899091048,0.5244541467719501,0.9601081974802119,0.13321825197648918,0.23766556613567513,0.16736373082726574,0.3393112372356525,0.6946743700656465
