stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share
1101.TW,1.1,0.584,20.625002,0.041929998,0.01343,0.20221001,0.04698,31.5,1.1014336,14.871
1102.TW,3.36,0.35,15.631579,0.05949,0.012940001,0.13185,0.06204,13.258928,0.92538744,23.353
1103.TW,0.26,0.747,42.790695,0.00119,-0.0019,0.13787,-0.02804,70.76923,0.58113825,4.491
1104.TW,3.09,0.584,12.279152,0.1062,0.02175,0.19765,0.14234,11.245955,1.0697244,11.59
1108.TW,1.29,0.748,nan,0.11,0.04006,0.17455,0.13482,13.100776,1.4307483,12.836
1109.TW,1.94,0.419,15.515873,0.07457,0.05009,0.21358,0.11229999,10.077319,0.8041296,17.654
1110.TW,0.25,0.074,nan,0.02029,0.0059399996,0.10892,0.12026,83.4,1.3155404,4.075
1201.TW,0.54,0.354,nan,0.03724,0.01265,0.27212998,0.02962,34.999996,1.2926612,43.515
1203.TW,2.11,0.321,29.213484,0.11338,0.05982,0.31175,0.18782,24.64455,2.0914612,26.863
1210.TW,4.9,0.638,11.8125,0.16308,0.06183,0.14078,0.04848,11.571428,2.0884748,129.229
1213.TW,-2.54,0.375,nan,-0.5243,-0.10283,-1.6366099,-0.77267,nan,2.039676,1.16
1215.TW,7.52,0.262,13.204225,0.22116,0.06838,0.17569,0.0761,14.960107,3.3313591,97.832
1216.TW,3.3,0.312,18.86574,0.1517,0.031229999,0.32352,0.0547,24.69697,3.4547074,107.084
1217.TW,0.44,0.607,nan,0.03004,0.00537,0.29214,0.03955,28.068182,0.8678238,9.884
1218.TW,0.29,0.309,18.319672,0.01166,0.00671,0.14591,0.039979998,77.06897,0.8880677,23.303
1219.TW,0.9,0.118,nan,0.0657,0.02026,0.09267,0.0113,21.166666,1.3763456,47.543
1220.TW,1.08,0.271,22.042253,0.08611,0.04868,0.15547,0.08826,14.49074,1.1642612,19.275
1225.TW,1.63,0.223,nan,0.1078,0.0319,0.07576,0.02163,58.46626,6.096469,61.36
1227.TW,1.58,0.31,15.925925,0.082040004,0.03723,0.22982,0.06942,27.215189,2.1583095,31.615
1229.TW,2.53,0.461,23.139933,0.07801,0.00991,0.18978001,0.07377,26.79842,2.2252855,8.735
1231.TW,4.16,0.254,nan,0.17896,0.04542,0.20875,0.08164,26.081732,4.419912,44.535
1232.TW,7.12,0.355,nan,0.20739001,0.11178,0.10564999,0.058579996,20.50562,4.111402,143.64
1233.TW,1.08,0.267,nan,0.07022,0.02688,0.58075,0.061090004,31.574072,2.241946,23.907
1234.TW,2.33,0.201,nan,0.052020002,0.01899,0.28112,0.03983,19.270388,0.99902105,26.56
1235.TW,1.1,-0.017,nan,0.03899,-0.00078,0.31861,-0.2017,84.0,1.4679716,1.006
